what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357303993500
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1357303996437
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1357303997125
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1357303998781
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1357304001734
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1357304001734
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1357304001843
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1357304004515
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1357304005718
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1357304005968
executed,command,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.debug",1357304007484
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1357304008406
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1357304015671
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1357304015671
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1357304015750
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1357304015875
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1357304015875
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1357304025375
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.StepOver",1357304033359
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.StepOver",1357304033656
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.StepOver",1357304034734
