what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v201001252130,"org.eclipse.wst.common.modulecore",1367243279359
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200911141735,"org.eclipse.wst.common.project.facet.core",1367243279359
started,bundle,org.eclipse.wst.common.uriresolver,1.1.301.v200805140415,"org.eclipse.wst.common.uriresolver",1367243279359
started,bundle,org.eclipse.wst.css.core,1.1.301.v200910161432,"org.eclipse.wst.css.core",1367243279406
started,bundle,org.eclipse.wst.css.ui,1.0.401.v200907171457,"org.eclipse.wst.css.ui",1367243279421
started,bundle,org.eclipse.wst.dtd.core,1.1.300.v200904181727,"org.eclipse.wst.dtd.core",1367243279484
started,bundle,org.eclipse.wst.dtd.ui,1.0.400.v200904300717,"org.eclipse.wst.dtd.ui",1367243279562
started,bundle,org.eclipse.wst.html.core,1.1.300.v200903120608,"org.eclipse.wst.html.core",1367243279562
started,bundle,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.ui",1367243279578
started,bundle,org.eclipse.wst.internet.cache,1.0.301.v200805140020,"org.eclipse.wst.internet.cache",1367243279578
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v2010012803,"org.eclipse.wst.jsdt.core",1367243279578
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1367243279578
started,bundle,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui",1367243279578
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.201.v201001221931,"org.eclipse.wst.jsdt.web.core",1367243279609
started,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.200.v200904140255,"org.eclipse.wst.jsdt.web.support.jsp",1367243279609
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.web.ui",1367243279656
started,bundle,org.eclipse.wst.server.core,1.1.102.v20100123,"org.eclipse.wst.server.core",1367243279687
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui",1367243279703
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1367243279734
started,bundle,org.eclipse.wst.sse.ui,1.1.102.v200910200227,"org.eclipse.wst.sse.ui",1367243279765
started,bundle,org.eclipse.wst.validation,1.2.104.v200911120201,"org.eclipse.wst.validation",1367243279765
started,bundle,org.eclipse.wst.web,1.1.301.v200911302230,"org.eclipse.wst.web",1367243279765
started,bundle,org.eclipse.wst.wsdl.validation,1.1.402.v200911251542,"org.eclipse.wst.wsdl.validation",1367243279781
started,bundle,org.eclipse.wst.wsi.ui,1.0.500.v200901141851,"org.eclipse.wst.wsi.ui",1367243279796
started,bundle,org.eclipse.wst.xml.core,1.1.402.v201001222130,"org.eclipse.wst.xml.core",1367243279828
started,bundle,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui",1367243279828
started,bundle,org.eclipse.wst.xsd.core,1.1.401.v200903020335,"org.eclipse.wst.xsd.core",1367243279843
started,bundle,org.eclipse.wst.xsl.core,1.0.1.v200908101420,"org.eclipse.wst.xsl.core",1367243279843
os,sysinfo,,,"win32",1367243279843
arch,sysinfo,,,"x86",1367243279843
ws,sysinfo,,,"win32",1367243279843
locale,sysinfo,,,"en_US",1367243279843
processors,sysinfo,,,"2",1367243279843
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1367243279843
java.runtime.version,sysinfo,,,"1.6.0-b105",1367243279843
java.specification.name,sysinfo,,,"Java Platform API Specification",1367243279843
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1367243279843
java.specification.version,sysinfo,,,"1.6",1367243279843
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1367243279843
java.version,sysinfo,,,"1.6.0",1367243279843
java.vm.info,sysinfo,,,"mixed mode",1367243279843
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1367243279843
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1367243279843
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1367243279843
java.vm.specification.version,sysinfo,,,"1.0",1367243279843
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1367243279843
java.vm.version,sysinfo,,,"1.6.0-b105",1367243279843
started,bundle,oracle.eclipse.tools.webservices.ui,2.4.0.201003170852,"oracle.eclipse.tools.webservices.ui",1367243280218
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1367243287531
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090925-1100,"org.eclipse.jdt.apt.pluggable.core",1367243287640
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1367243288109
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367243311890
started,bundle,org.eclipse.mylyn.commons.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.commons.ui",1367243313984
started,bundle,org.eclipse.mylyn.bugzilla.core,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1367243314546
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1367243314750
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1367243315312
started,bundle,org.eclipse.mylyn.context.core,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.context.core",1367243315562
started,bundle,org.eclipse.mylyn.context.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.context.ui",1367243315609
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.tasks.ui",1367243316328
started,bundle,org.eclipse.mylyn.team.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.team.ui",1367243316468
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1367243316500
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1367243316718
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1367243316718
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367243319093
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367243896656
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367243897859
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367243897875
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367243898015
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367244112234
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367244113390
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367244113390
