what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.StepOver",1367120577000
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.StepOver",1367120577859
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.StepOver",1367120579656
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.StepOver",1367120581500
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.StepOver",1367120582031
opened,editor,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1367120582125
activated,editor,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1367120582156
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.Resume",1367120582718
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367120583953
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367120583953
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367120584046
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367120590140
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367120590265
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.StepOver",1367120595375
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367120600250
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367120603000
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.Resume",1367120603515
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367120608109
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367120608125
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367120608250
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367120620500
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1367120633312
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1367120643125
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367120654750
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367120657562
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1367120658718
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1367120658875
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1367120675515
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367120677671
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367120678218
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1367120689031
