what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1358575204765
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1358575204765
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1358575204906
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1358575205703
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1358575227171
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1358575245359
no handler,command,org.eclipse.datatools.sqltools.result.ui,,"org.eclipse.datatools.sqltools.result.removeAllInstances",1358575246734
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1358575248281
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1358575255125
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1358575255125
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1358575255218
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1358575257312
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1358575258171
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1358575278140
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1358575280750
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1358575296437
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1358575309203
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1358575313875
started,bundle,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui",1358575313890
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1358575316218
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1358575316734
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1358575318765
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1358575322562
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1358575332359
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1358575336265
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1358575342906
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1358575345890
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1358575365968
