what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.java.tasks,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.java.tasks",1367226388671
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367226388875
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367226421609
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367226471000
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367226471000
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367226471109
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367226531796
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1367226537640
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1367226552281
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1367226555937
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1367226559468
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1367226562812
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.delete.line",1367226564281
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1367226564781
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367226565750
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367226565750
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367226565843
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367226581203
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineEnd",1367226596687
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineEnd",1367226597812
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1367226599218
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1367226599578
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1367226600812
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1367226605328
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1367226623984
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1367226625953
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1367226628500
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1367226630890
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1367226632968
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1367226635984
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1367226641312
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1367226650406
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1367226675437
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1367226681046
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1367226685812
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1367226686250
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1367226692609
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367226694171
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367226694171
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367226694296
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367226706218
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1367226715031
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1367226715421
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1367226715781
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1367226718609
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367226726734
