what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1417259619562
activated,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.BreakpointView",1417259621437
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1417259621875
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.Resume",1417259622078
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1417259624046
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1417259624046
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1417259624156
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1417259653437
activated,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.BreakpointView",1417259655281
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1417259656437
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1417259656437
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1417259656546
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1417259657953
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1417259658703
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.Resume",1417259659546
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1417259659765
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.Resume",1417259661156
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.Resume",1417259663671
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1417259686421
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1417259687312
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1417259689515
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1417259689640
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.Resume",1417259690562
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1417259690781
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1417259693218
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.Resume",1417259693875
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.Resume",1417259696062
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1417259699953
