what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1357298467125
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1357298467234
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1357298749890
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1357298752687
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1357298752687
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1357298752828
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1357298758406
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1357298760062
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1357298914734
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1357298917828
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1357298920062
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1357298920062
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1357298920171
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1357299141484
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1357299146062
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357299148562
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PropertiesFileEditor",1357299150000
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1357299152984
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1357299155515
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1357299160234
executed,command,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.debug",1357299161437
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1357299217984
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1357299223281
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1357299223281
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1357299223421
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1357299238187
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.Resume",1357299241843
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357299243500
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1357299243687
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.Resume",1357299244656
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1357299247531
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1357299247531
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1357299247640
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1357299249843
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357299249875
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1357299254125
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.Resume",1357299254593
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1357299261625
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1357299261625
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1357299261734
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1357299311703
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1357299312984
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357299318000
