what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1367160761421
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1367160761671
executed,command,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.debug",1367160762875
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367160767953
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367160767968
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367160768078
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367160770531
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367160772984
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367160816968
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367160828031
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1367160831453
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1367160839828
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1367160878031
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1367160884015
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367160884734
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367160884734
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367160884812
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1367161036687
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367161038562
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1367161041703
